,iso_code,country,year,GDLcode,continent2,level,region,continent,CountryName_std,shdi,healthindex,incindex,edindex,esch,msch,lifexp,gnic,lgnic,pop,POLY_IDcountry,iso3,status,CountryName,SubContinent,Continent,Continent_std,surfaceTemperature,soilMoisture10cm,soilMoisture40cm
26,KHM,Cambodia,1991,KHMr114,Asia,Subnat,Kampot-Krong Kaeb-Krong Preah Sihanouk,Asia/Pacific,Cambodia,0.37099999,0.51800001,0.33700001,0.294,7.2389998,2.7950001,53.639,928.68298,6.8340001,615.509,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.32069479311559207,0.3300296843111834
27,KHM,Cambodia,1991,KHMr114,Asia,Subnat,Kampot-Krong Kaeb-Krong Preah Sihanouk,Asia/Pacific,Cambodia,0.37099999,0.51800001,0.33700001,0.294,7.2389998,2.7950001,53.639,928.68298,6.8340001,615.509,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3178699864943486,0.3249059740609617
28,KHM,Cambodia,1991,KHMr103,Asia,Subnat,Kampong Chhnang,Asia/Pacific,Cambodia,0.33700001,0.472,0.338,0.23899999,5.9959998,2.1789999,50.678001,937.68298,6.8429999,358.474,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.29638712743936685,0.3001185063409218
29,KHM,Cambodia,1991,KHMr110,Asia,Subnat,Pousat,Asia/Pacific,Cambodia,0.331,0.45899999,0.333,0.237,5.8270001,2.266,49.808998,908.96198,6.8119998,279.979,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3275127002934414,0.3298978343625167
30,KHM,Cambodia,1991,KHMr107,Asia,Subnat,Kaoh Kong,Asia/Pacific,Cambodia,0.361,0.57099998,0.36000001,0.229,5.3600001,2.408,57.132999,1084.974,6.9889998,94.286,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.350659792603095,0.35117847248814427
31,KHM,Cambodia,1991,KHMr117,Asia,Subnat,Siem Reab-Otdar Mean Chey,Asia/Pacific,Cambodia,0.33000001,0.51700002,0.33000001,0.211,5.3449998,1.887,53.619999,889.10498,6.79,632.601,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.30804627434687426,0.3252760868253141
32,KHM,Cambodia,1991,KHMr111,Asia,Subnat,Svay Rieng,Asia/Pacific,Cambodia,0.36399999,0.50999999,0.33899999,0.28,6.901,2.645,53.154999,943.828,6.8499999,408.636,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.29970432421592497,0.31482315296549573
33,KHM,Cambodia,1991,KHMr112,Asia,Subnat,Takaev,Asia/Pacific,Cambodia,0.37900001,0.52700001,0.333,0.31099999,7.7069998,2.9130001,54.238998,905.57501,6.809,664.835,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.28525656583128894,0.2883859079541075
34,KHM,Cambodia,1991,KHMr108,Asia,Subnat,Phnom Penh,Asia/Pacific,Cambodia,0.52999997,0.65100002,0.53899997,0.42500001,9.1409998,5.1240001,62.347,3551.688,8.1750002,808.169,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.2972942960957077,0.30036798174395885
35,KHM,Cambodia,1991,KHMr106,Asia,Subnat,Kandal,Asia/Pacific,Cambodia,0.375,0.542,0.345,0.28299999,6.9679999,2.6760001,55.242001,982.47498,6.8899999,906.264,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.27843479856377534,0.29109212933727213
36,KHM,Cambodia,1992,KHMr108,Asia,Subnat,Phnom Penh,Asia/Pacific,Cambodia,0.53799999,0.65700001,0.546,0.435,9.276,5.3130002,62.694,3708.7639,8.2180004,837.278,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.30615689658801737,0.30509573312624827
37,KHM,Cambodia,1992,KHMr102,Asia,Subnat,Kampong Cham (incl Tboung Khmum),Asia/Pacific,Cambodia,0.36199999,0.509,0.34999999,0.26699999,6.802,2.3329999,53.077999,1013.567,6.921,1260.345,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.31474033797782874,0.31488328430959817
38,KHM,Cambodia,1992,KHMr101,Asia,Subnat,Banteay Mean Chey,Asia/Pacific,Cambodia,0.36300001,0.54799998,0.33700001,0.259,6.5619998,2.2920001,55.599998,930.04199,6.835,447.222,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.27060600895708553,0.2682505379015712
39,KHM,Cambodia,1992,KHMr105,Asia,Subnat,Kampong Thum,Asia/Pacific,Cambodia,0.359,0.56199998,0.32499999,0.25299999,6.3070002,2.325,56.553001,859.828,6.757,499.865,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3180976124366519,0.31899384951857773
40,KHM,Cambodia,1992,KHMr112,Asia,Subnat,Takaev,Asia/Pacific,Cambodia,0.38499999,0.53100002,0.338,0.31799999,7.8210001,3.0209999,54.541,938.80798,6.8449998,688.782,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.2963143898299743,0.29174796644865064
41,KHM,Cambodia,1992,KHMr114,Asia,Subnat,Kampot-Krong Kaeb-Krong Preah Sihanouk,Asia/Pacific,Cambodia,0.377,0.52200001,0.34200001,0.301,7.3449998,2.898,53.937,962.89301,6.8699999,637.679,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.31844580513063125,0.3205139649103097
42,KHM,Cambodia,1992,KHMr114,Asia,Subnat,Kampot-Krong Kaeb-Krong Preah Sihanouk,Asia/Pacific,Cambodia,0.377,0.52200001,0.34200001,0.301,7.3449998,2.898,53.937,962.89301,6.8699999,637.679,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3139555740419453,0.3139905339117221
43,KHM,Cambodia,1992,KHMr110,Asia,Subnat,Pousat,Asia/Pacific,Cambodia,0.336,0.463,0.33899999,0.243,5.9120002,2.3499999,50.085999,942.33801,6.848,290.064,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3244718578654389,0.32423163539381816
